1818,
  -0.154595909192797E+01,   0.550714656657661E+00,
  -0.155286549064773E+01,   0.692011147045171E+00,
  -0.122459436732876E+01,   0.405288707772147E+00,
  -0.123132077130573E+01,   0.545344447526211E+00,
  -0.123728693632362E+01,   0.684934037922527E+00,
  -0.909945549305607E+00,   0.402085884625716E+00,
  -0.915326884647980E+00,   0.540806865462002E+00,
  -0.920083094301382E+00,   0.678959500517170E+00,
  -0.726361524392618E+00,   0.400504648237009E+00,
  -0.730832181249461E+00,   0.538568319923039E+00,
  -0.734767273837801E+00,   0.676014945174747E+00,
  -0.410532053511714E+00,   0.398476830765192E+00,
  -0.413333960705661E+00,   0.535702481350059E+00,
  -0.415767473324448E+00,   0.672251542713913E+00,
  -0.942712895282466E-01,   0.397349201255670E+00,
  -0.952894800992888E-01,   0.534117486283367E+00,
  -0.961224534355144E-01,   0.670180954708297E+00,
   0.899569999084825E-01,   0.397107336778225E+00,
   0.900215292489199E-01,   0.533784385004251E+00,
   0.901582213961631E-01,   0.669754434788944E+00,
   0.406330068932686E+00,   0.397403829393259E+00,
   0.408204970053498E+00,   0.534220288860101E+00,
   0.409960755526815E+00,   0.670347889686324E+00,
   0.722413824410459E+00,   0.398600553918516E+00,
   0.726017828638032E+00,   0.535930233034413E+00,
   0.729317204728365E+00,   0.672616496752337E+00,
   0.906214143930123E+00,   0.399700287093231E+00,
   0.910780610904643E+00,   0.537495909980154E+00,
   0.914937878822159E+00,   0.674686720583049E+00,
   0.122139684859096E+01,   0.402112504864242E+00,
   0.122744346219349E+01,   0.540922526755644E+00,
   0.123291832829585E+01,   0.679208648377473E+00,
   0.153572973008447E+01,   0.405161155423113E+00,
   0.154302302039703E+01,   0.545245374576678E+00,
   0.154960528066991E+01,   0.684904142767359E+00,
   0.171826673778283E+01,   0.407210743746727E+00,
   0.172617524907034E+01,   0.548148498406652E+00,
   0.173330259673161E+01,   0.688725507756885E+00,
   0.203106794751108E+01,   0.410936024916870E+00,
   0.203980048473576E+01,   0.553416403764928E+00,
   0.204765343342338E+01,   0.695649824464857E+00,
   0.234278259290392E+01,   0.414880290947600E+00,
   0.235203829761580E+01,   0.558982849467967E+00,
   0.236034437647227E+01,   0.702954090306899E+00,
   0.252370426428269E+01,   0.417258540879373E+00,
   0.253312800688359E+01,   0.562333924651498E+00,
   0.254157433441156E+01,   0.707345345758819E+00,
   0.283383838518069E+01,   0.421211482388839E+00,
   0.284334783394445E+01,   0.567887521914612E+00,
   0.285185293624739E+01,   0.714603232281634E+00,
   0.314306092175785E+01,   0.424956406850135E+00,
   0.315240388280263E+01,   0.573126335432082E+00,
   0.316074167427600E+01,   0.721422535479835E+00,
   0.332262364868672E+01,   0.427031522842645E+00,
   0.333175873309609E+01,   0.576018417415709E+00,
   0.333989993356242E+01,   0.725174015297367E+00,
   0.363074580148030E+01,   0.430286177748063E+00,
   0.363941098764000E+01,   0.580536203655360E+00,
   0.364711801925922E+01,   0.731012202431323E+00,
   0.393838839889034E+01,   0.433129035546621E+00,
   0.394645229956962E+01,   0.584457228333386E+00,
   0.395361387766772E+01,   0.736048615178393E+00,
   0.411722881230282E+01,   0.434594392032634E+00,
   0.412488681316428E+01,   0.586465639894578E+00,
   0.413168365909236E+01,   0.738612900108380E+00,
   0.442442289928202E+01,   0.436793555865950E+00,
   0.443135631395730E+01,   0.589463853346667E+00,
   0.443750536915728E+01,   0.742422865330079E+00,
   0.473152952068581E+01,   0.438590738698998E+00,
   0.473771385578478E+01,   0.591892181454814E+00,
   0.474319702702275E+01,   0.745484091496591E+00,
   0.491023102429945E+01,   0.439456256995065E+00,
   0.491597034365991E+01,   0.593050175830600E+00,
   0.492105956398178E+01,   0.746930771108353E+00,
   0.521736974222874E+01,   0.440704006185267E+00,
   0.522236263014686E+01,   0.594709243786778E+00,
   0.522679312715909E+01,   0.748989878273661E+00,
   0.552463650316803E+01,   0.441659125125652E+00,
   0.552891080088797E+01,   0.595965674266797E+00,
   0.553270972054586E+01,   0.750530814210774E+00,
   0.570352410799275E+01,   0.442085377303089E+00,
   0.570739408457411E+01,   0.596518432158704E+00,
   0.571083844444047E+01,   0.751198112414358E+00,
   0.601104605626346E+01,   0.442672762191912E+00,
   0.601426154583506E+01,   0.597266494558977E+00,
   0.601712688649928E+01,   0.752088023172834E+00,
