 369,
   0.2016361347785590E+00,   0.1643005433695444E+00,
   0.2010667608060515E+00,   0.1530605403398753E+00,
   0.2040496293793344E+00,   0.1555330240890369E+00,
   0.2070318736831533E+00,   0.1580053765903031E+00,
   0.2060852546520791E+00,   0.1468025887290599E+00,
   0.2091473503607273E+00,   0.1491759676034982E+00,
   0.2122087707461489E+00,   0.1515491870329364E+00,
   0.2089054831721784E+00,   0.1430931220095877E+00,
   0.2120122072026860E+00,   0.1454076235442211E+00,
   0.2151182268943131E+00,   0.1477219496027414E+00,
   0.2135733386301160E+00,   0.1366108343353865E+00,
   0.2167540674181614E+00,   0.1388222261596215E+00,
   0.2199340378939069E+00,   0.1410334167290681E+00,
   0.2180116649298798E+00,   0.1300009491109091E+00,
   0.2212629336486930E+00,   0.1321069282208107E+00,
   0.2245133842283683E+00,   0.1342126827013934E+00,
   0.2204872242790394E+00,   0.1260998421994332E+00,
   0.2237779188752355E+00,   0.1281434855297949E+00,
   0.2270677586657539E+00,   0.1301868919016132E+00,
   0.2245521868033116E+00,   0.1193116993162366E+00,
   0.2279077234368651E+00,   0.1212466762334868E+00,
   0.2312623511291659E+00,   0.1231813996782239E+00,
   0.2283758764264060E+00,   0.1124260406895292E+00,
   0.2317925357683331E+00,   0.1142505457310334E+00,
   0.2352082448797250E+00,   0.1160747869971649E+00,
   0.2304891323434419E+00,   0.1083784441718080E+00,
   0.2339396328226517E+00,   0.1101379018080925E+00,
   0.2373891638918671E+00,   0.1118970925589917E+00,
   0.2339252251739854E+00,   0.1013631156701472E+00,
   0.2374308221123289E+00,   0.1030096630545936E+00,
   0.2409354095287600E+00,   0.1046559439451511E+00,
   0.2371137910218465E+00,   0.9428136543185124E-01,
   0.2406706048395823E+00,   0.9581372594172302E-01,
   0.2442263579745310E+00,   0.9734582761301518E-01,
   0.2388553383047754E+00,   0.9013395123846012E-01,
   0.2424401679712495E+00,   0.9159934619734456E-01,
   0.2460239031585779E+00,   0.9306448976001831E-01,
   0.2416506930500692E+00,   0.8297179913677231E-01,
   0.2452805401551672E+00,   0.8432141201200784E-01,
   0.2489092424807244E+00,   0.8567078674609870E-01,
   0.2441976135163634E+00,   0.7577418204125733E-01,
   0.2478685389452063E+00,   0.7700726919507006E-01,
   0.2515382810614367E+00,   0.7824013138026432E-01,
   0.2455660755889731E+00,   0.7157342012572682E-01,
   0.2492591010865981E+00,   0.7273842381977412E-01,
   0.2529509256682768E+00,   0.7390321025418432E-01,
   0.2477224616807040E+00,   0.6434358611057869E-01,
   0.2514503342031700E+00,   0.6539130642836463E-01,
   0.2551769758732031E+00,   0.6643882411655816E-01,
   0.2496345882510467E+00,   0.5710804403387151E-01,
   0.2533933864999469E+00,   0.5803825949490381E-01,
   0.2571509232723742E+00,   0.5896828884003988E-01,
   0.2506362084125870E+00,   0.5289860945721737E-01,
   0.2544112188261273E+00,   0.5376040730738731E-01,
   0.2581849498789002E+00,   0.5462202953222382E-01,
   0.2521680317454150E+00,   0.4567640167761338E-01,
   0.2559678491388370E+00,   0.4642074089518100E-01,
   0.2597663598620977E+00,   0.4716492457905259E-01,
   0.2534642026651165E+00,   0.3847615431238266E-01,
   0.2572850273386088E+00,   0.3910330456111961E-01,
   0.2611045227834835E+00,   0.3973032198148913E-01,
